"from","to","relation","date"
"51352605215","65024499608","PARENT","2006-02-08"
"65024499608","51352605215","OFFSPRING","2006-02-08"
"59095165555","19652613981","SPOUSE","1975-12-22"
"19652613981","59095165555","SPOUSE","1975-12-22"
"11825927551","42167291116","PARENT","1975-08-05"
"42167291116","11825927551","OFFSPRING","1975-08-05"
"84320556439","36405577647","SPOUSE","2000-08-13"
"36405577647","84320556439","SPOUSE","2000-08-13"
"87474057898","84320556439","SIBLING","2011-06-25"
"84320556439","87474057898","SIBLING","2011-06-25"
"46730468386","27829673848","SPOUSE","1976-01-29"
"27829673848","46730468386","SPOUSE","1976-01-29"
"87474057898","75670892400","SIBLING","1988-05-16"
"75670892400","87474057898","SIBLING","1988-05-16"
"21840356076","40119347287","SPOUSE","2017-01-17"
"40119347287","21840356076","SPOUSE","2017-01-17"
"33446405930","30422525320","PARENT","1971-02-05"
"30422525320","33446405930","OFFSPRING","1971-02-05"
"19081257821","87474057898","PARENT","1994-10-17"
"87474057898","19081257821","OFFSPRING","1994-10-17"
"92132521081","31937916488","SIBLING","2011-05-30"
"31937916488","92132521081","SIBLING","2011-05-30"
"62682190910","87179915573","PARENT","1990-10-25"
"87179915573","62682190910","OFFSPRING","1990-10-25"
"93395191107","31744245149","PARENT","2008-12-21"
"31744245149","93395191107","OFFSPRING","2008-12-21"
"92637325775","62682190910","PARENT","2012-04-11"
"62682190910","92637325775","OFFSPRING","2012-04-11"
"19952263664","51352605215","PARENT","1996-10-11"
"51352605215","19952263664","OFFSPRING","1996-10-11"
"89099625554","36763226184","SIBLING","2016-10-15"
"36763226184","89099625554","SIBLING","2016-10-15"
"67320326336","46519294740","SIBLING","1998-12-26"
"46519294740","67320326336","SIBLING","1998-12-26"
"19081257821","84320556439","SPOUSE","2016-07-28"
"84320556439","19081257821","SPOUSE","2016-07-28"
"51481148599","68457066061","PARENT","1976-05-10"
"68457066061","51481148599","OFFSPRING","1976-05-10"
"30937646422","97321613111","SPOUSE","2003-06-24"
"97321613111","30937646422","SPOUSE","2003-06-24"
"11825927551","81729767675","SPOUSE","1998-08-05"
"81729767675","11825927551","SPOUSE","1998-08-05"
"47674564865","15003722057","SPOUSE","1985-10-29"
"15003722057","47674564865","SPOUSE","1985-10-29"
"48070356279","21840356076","PARENT","2018-04-11"
"21840356076","48070356279","OFFSPRING","2018-04-11"
"51074823863","42167291116","SPOUSE","2012-01-21"
"42167291116","51074823863","SPOUSE","2012-01-21"
"27829673848","15292535857","SPOUSE","2013-10-17"
"15292535857","27829673848","SPOUSE","2013-10-17"
"93325550487","99015504057","SIBLING","1978-05-13"
"99015504057","93325550487","SIBLING","1978-05-13"
"93325550487","69191273419","SIBLING","1996-01-22"
"69191273419","93325550487","SIBLING","1996-01-22"
"68243571508","67245716854","SIBLING","2013-12-12"
"67245716854","68243571508","SIBLING","2013-12-12"
"90208511396","80309559746","SPOUSE","2002-02-26"
"80309559746","90208511396","SPOUSE","2002-02-26"
"40379122367","55789494292","SPOUSE","2006-07-26"
"55789494292","40379122367","SPOUSE","2006-07-26"
"77132792314","33553765741","PARENT","1970-11-13"
"33553765741","77132792314","OFFSPRING","1970-11-13"
"11825927551","87474057898","PARENT","2009-12-20"
"87474057898","11825927551","OFFSPRING","2009-12-20"
"36191272611","16867894969","PARENT","2006-10-19"
"16867894969","36191272611","OFFSPRING","2006-10-19"
"15292535857","49737196131","SPOUSE","2006-10-09"
"49737196131","15292535857","SPOUSE","2006-10-09"
