"from","to","transaction_id","date","amount"
"770570","552418","754432","1984-03-23","888075000"
"925369","127024","380681","2013-06-26","637129000"
"664517","176624","405623","2014-11-28","338948000"
"847189","211677","413286","1982-08-15","573435000"
"146565","257254","575128","1977-02-17","491805000"
"120456","409565","141629","2007-11-19","516671000"
"640196","443038","595095","1997-05-29","729049000"
"579207","754062","211682","1998-10-23","736197000"
"759230","598187","643982","1983-02-28","581799000"
"991750","807196","753761","1988-07-25","455715000"
"222805","203473","350175","2011-07-21","607361000"
"920309","857359","396442","2000-06-27","387719000"
"881782","444366","407896","1983-12-07","8235000"
"829318","920309","760874","2017-06-06","774378000"
"138347","723370","880760","2005-02-13","965132000"
"118273","770570","885107","2009-11-08","388242000"
"138347","204065","820052","2002-07-02","626136000"
"645462","689912","558906","2019-10-25","666267000"
"807196","631630","686997","1996-09-09","188078000"
"973855","966625","797527","1970-12-04","805687000"
"252049","925369","622306","2003-04-24","450550000"
"665940","200373","893250","2002-09-12","388603000"
"428015","663784","776417","1971-08-14","892173000"
"101213","313582","246400","1986-09-22","578732000"
"544644","538991","333874","2001-06-18","193309000"
"494783","454020","844252","1970-10-23","386693000"
"195022","294032","947937","1976-03-08","458996000"
"378008","916696","770489","2016-03-07","924834000"
"726923","913372","810177","1974-09-17","108576000"
"264260","999268","314930","1983-07-30","978285000"
"228156","690612","443140","1995-12-20","446013000"
"487291","971726","352234","2006-08-19","573681000"
"108610","313582","661004","2011-09-01","836251000"
"659624","639316","220256","1975-03-13","515568000"
"142323","723370","421113","2009-03-16","284456000"
"224323","725563","378029","2004-05-04","911924000"
"753521","676211","745750","1977-08-20","647112000"
"367353","146565","175181","1993-12-31","588623000"
"210069","718396","137506","1976-09-12","184201000"
"454020","309532","897559","1989-09-15","137740000"
"923756","120456","905219","1998-03-13","494216000"
"720487","163147","984741","1997-01-19","847050000"
"273535","389470","225168","2005-01-01","895113000"
"928095","579207","330920","1976-12-08","805492000"
"190028","600682","836049","1991-04-08","484898000"
"966625","149847","807951","1995-03-02","145798000"
"468404","606472","956119","1981-02-21","55616000"
"752879","754062","457017","1993-11-04","24476000"
"826529","895502","662174","2004-06-05","916997000"
"689912","313582","436171","1978-05-11","381088000"
"468404","987148","157325","2005-04-28","774414000"
"744865","407736","965805","2014-08-22","131309000"
"705174","487291","864491","1993-02-24","988776000"
"867145","228156","184916","1982-05-04","555639000"
"214437","995416","535165","1989-06-07","998421000"
"108610","676211","976239","2010-12-28","920187000"
"690612","895502","907553","1998-12-24","501040000"
"294032","959430","783140","1983-07-03","853518000"
"320567","668105","424254","1971-08-10","208597000"
"163147","943440","616676","2014-12-02","881089000"
"239645","425579","269966","1992-06-02","866050000"
"690612","923756","809614","1973-05-13","672373000"
"181370","228156","639548","1988-07-07","860368000"
"547087","668105","723455","2012-11-16","764396000"
"995104","226463","242151","2014-05-13","812209000"
"857359","423314","788096","2015-11-10","907224000"
"725563","204065","170410","2019-03-09","348303000"
"294032","140200","272923","1986-06-23","57706000"
"118273","313582","591743","1987-06-02","795854000"
"867145","734268","291534","2013-11-02","823901000"
"807196","639316","636285","1981-02-10","981477000"
